id,gap_convdate_appcreated,days_active_app,utm_source,device_model,Android_app_version,device_price_cat,grade,current_streak,max_streak,total_timespent_last7D,comp_activity,comp_news,comp_reading,submitq_attempt,submitq_accuracy,total_navigations,total_visit,freados_earned,user_category
1fbfa0d3-b58b-4203-81e2-2c4f3fdb4b9a,12,4,Club1BR,SM-N960F,5.7.1.6,High,Grade 5,0,0,0,0,0,0,0,0,0,0,0,bijwip
1fdec912-b4e0-4cd4-a56e-083575ffcfcd,15,8,Club1BR,SM-M215F,5.7.1.6,Medium,Grade 4,0,0,22.96666667,0,0,0,4,0,3,2,1000,bijwip
1fdfce92-4689-409b-9bed-a68685009dc1,541,2,Organic,CPH1823,5.7.1.6,Medium,Grade 2,0,1,17.66666667,0,0,0,0,0,4,0,200,#N/A
1fece2cd-5b2d-49c7-a0dc-d7b23f2d4e3c,15,4,Organic,RMX2161,5.7.1.5,Medium,Senior KG,0,0,7.9,0,0,0,0,0,3,0,0,#N/A
1fee7948-fc6a-48aa-a22f-cb144eb042c1,7,11,Club1BR,SM-M315F,5.7.1.6,Medium,Grade 1,0,3,23.11666667,2,0,0,0,0,13,0,180,ybtduc
1ff88fde-954e-40b6-9c4b-e73e95d64dd7,3,1,Organic,RMX3171,5.7.1.6,Low,Grade 5,0,1,9.85,3,3,0,13,0.384615385,8,0,660,#N/A
2004f3d7-5703-48fd-a847-db0f2c3e0388,1,3,Club1BR,POCO X2,5.7.1.6,Medium,Grade 6,0,0,16.3,0,0,0,0,0,39,0,0,baymph
2042a304-4038-4988-9417-d04b699bd4e2,71,1,Club1BR,0,0,0,Grade 2,1,1,10.43333333,0,0,0,0,0,4,2,300,ksymwj
204e3ede-6207-4720-8c0d-a4469a53880a,14,17,Club1BR,CPH2269,5.7.1.7,Medium,Grade 4,10,12,173.05,142,137,4,411,0.532846715,309,0,25300,nkbvbh
20664c22-e739-4045-898f-29a29bbd3e46,286,2,Club1BR,"IPHONE8,1",0,High,Grade 6,0,0,18.7,0,0,0,0,0,16,0,0,493568
206bb6c0-256e-4c29-8741-73fde615cbb4,13,1,Organic,CPH2213,5.7.1.6,High,Grade 3,0,0,0.366666667,0,0,0,0,0,2,0,0,#N/A
20728d81-7b9e-4ed3-a10e-e51c9d34a6a7,6,8,Organic,CPH2321,5.7.1.6,Medium,Grade 2,5,5,69.36666667,4,1,0,12,0.333333333,36,1,1130,#N/A
2074d342-a0b4-426c-a378-3f52337e83c1,8,3,Organic,EB2101,5.7.1.7,High,Senior KG,0,1,30,1,0,0,0,0,3,0,1100,#N/A
